user_name,package_name,event,days,star_user,fork_user,contributor_user,issue_new_user,issue_closed_user,pl_new_user,pl_closed_user,passby_user,release_user,size_user,star_package,fork_package,contributor_package,issue_new_package,issue_closed_package,pl_new_package,pl_closed_package,passby_package,release_package,size_package,total_change,perfective_change,corrective_change,features_change,nonfunctional_change,unknown_change,possible_vuln,cve
freqtrade/freqtrade,aio-libs/aiohttp,True,6,1322,340,188,256,264,202,206,145,4,78,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
pypa/bandersnatch,aio-libs/aiohttp,True,7,13,7,20,11,6,76,73,13,2,60,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
cocrawler/cocrawler,aio-libs/aiohttp,False,102,3,0,0,0,0,0,0,0,0,21,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
DataONEorg/d1_python,aio-libs/aiohttp,False,102,0,0,1,0,0,4,2,0,0,89,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
GNS3/gns3-server,aio-libs/aiohttp,True,22,29,6,26,17,10,14,14,18,1,155,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
oceanprotocol/aquarius,aio-libs/aiohttp,True,6,3,3,17,17,16,49,51,6,0,63,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
fedus/smockrawl,aio-libs/aiohttp,False,102,0,0,0,0,0,0,0,0,0,4,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
chuckus/chromewhip,aio-libs/aiohttp,False,102,0,0,0,0,0,0,0,0,0,14,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
balemessenger/bale-bot-python,aio-libs/aiohttp,False,102,0,0,0,0,0,0,0,0,0,20,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
prototype-project/easydb-client,aio-libs/aiohttp,False,102,0,0,0,0,0,0,0,0,0,5,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
loudml/loudml-python,aio-libs/aiohttp,False,102,0,0,0,0,0,0,0,0,0,24,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
CheckiO/checkio-client,aio-libs/aiohttp,False,102,0,0,2,1,1,1,1,2,5,24,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
javipalanca/spade,aio-libs/aiohttp,False,102,2,3,2,0,0,1,0,2,0,28,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
ipinfo/python,aio-libs/aiohttp,False,102,23,8,7,2,3,5,5,6,1,29,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
lamoreauxlab/srpenergy-api-client-python,aio-libs/aiohttp,False,102,1,0,2,3,0,0,0,2,0,20,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
nucypher/nucypher,aio-libs/aiohttp,False,102,18,2,11,8,2,17,19,3,0,211,358,64,127,33,28,138,145,106,2,202,138,10,32,96,0,0,1,0
hartwork/jawanndenn,django/django,True,3,8,0,5,1,2,1,1,4,3,71,2439,1452,282,0,0,380,411,206,3,67,23,4,8,11,0,0,1,1
hartwork/jawanndenn,django/django,True,2,8,0,5,1,2,1,1,4,3,71,2439,1452,282,0,0,380,411,206,3,67,41,1,20,20,0,0,1,1
nickromano/product-release-notes,django/django,True,1,0,0,2,0,0,6,6,0,0,11,2439,1452,282,0,0,380,411,206,3,67,28,1,18,9,0,0,2,2
hartwork/jawanndenn,django/django,True,2,8,0,5,1,2,1,1,4,3,71,2439,1452,282,0,0,380,411,206,3,67,28,1,18,9,0,0,2,2
Miserlou/Zappa,django/django,False,1032,380,68,159,35,33,55,85,131,3,116,2439,1452,282,0,0,380,411,206,3,67,28,1,18,9,0,0,2,2
sebatyler/Zappa,django/django,False,1032,0,0,0,0,0,0,0,0,0,116,2439,1452,282,0,0,380,411,206,3,67,28,1,18,9,0,0,2,2
nickromano/product-release-notes,django/django,True,0,0,0,2,0,0,9,9,0,0,11,2708,1554,269,4,0,472,495,199,3,67,38,6,15,17,0,0,1,1
