user_name,package_name,event,days,star_user,fork_user,contributor_user,issue_new_user,pl_new_user,release_user,release_package,cve,is_web,has_cve,star_user_log10,fork_user_log10,contributor_user_log10,issue_new_user_log10,pl_new_user_log10,release_user_log10,release_package_log10
hampsterx/numpy-syncer,aaa_numpy/numpy,0,192,0,0,1,0,1,0,3,0,0,0,0,0,0.301029996,0,0.301029996,0,0.602059991
hartwork/jawanndenn,django/django,0,150,6,2,3,0,61,0,2,2,1,1,0.84509804,0.477121255,0.602059991,0,1.792391689,0,0.477121255
hartwork/jawanndenn,django/django,1,0,11,1,2,0,55,0,3,1,1,1,1.079181246,0.301029996,0.477121255,0,1.748188027,0,0.602059991
hartwork/jawanndenn,django/django,1,1,11,1,2,0,55,0,3,0,1,0,1.079181246,0.301029996,0.477121255,0,1.748188027,0,0.602059991
hartwork/jawanndenn,django/django,1,1,11,1,2,0,55,0,3,2,1,1,1.079181246,0.301029996,0.477121255,0,1.748188027,0,0.602059991
hartwork/jawanndenn,django/django,1,1,11,2,3,0,62,0,3,2,1,1,1.079181246,0.477121255,0.602059991,0,1.799340549,0,0.602059991
hartwork/jawanndenn,django/django,1,1,14,3,4,2,43,1,4,0,1,0,1.176091259,0.602059991,0.698970004,0.477121255,1.643452676,0.301029996,0.698970004
hartwork/jawanndenn,django/django,1,1,14,3,4,2,43,1,4,2,1,1,1.176091259,0.602059991,0.698970004,0.477121255,1.643452676,0.301029996,0.698970004
hartwork/jawanndenn,django/django,1,1,4,1,4,2,43,0,4,1,1,1,0.698970004,0.301029996,0.698970004,0.477121255,1.643452676,0,0.698970004
hartwork/jawanndenn,django/django,1,1,4,1,4,2,43,0,4,9,1,1,0.698970004,0.301029996,0.698970004,0.477121255,1.643452676,0,0.698970004
hartwork/jawanndenn,django/django,1,1,6,2,3,0,61,0,2,1,1,1,0.84509804,0.477121255,0.602059991,0,1.792391689,0,0.477121255
hartwork/jawanndenn,django/django,1,1,7,0,3,1,53,1,5,1,1,1,0.903089987,0,0.602059991,0.301029996,1.73239376,0.301029996,0.77815125
hartwork/jawanndenn,django/django,1,1,7,3,3,0,32,1,3,0,1,0,0.903089987,0.602059991,0.602059991,0,1.51851394,0.301029996,0.602059991
hartwork/jawanndenn,django/django,1,1,7,3,3,0,32,1,3,1,1,1,0.903089987,0.602059991,0.602059991,0,1.51851394,0.301029996,0.602059991
hartwork/jawanndenn,django/django,1,1,7,3,3,0,32,1,3,3,1,1,0.903089987,0.602059991,0.602059991,0,1.51851394,0.301029996,0.602059991
hartwork/jawanndenn,django/django,1,1,9,0,3,0,58,0,3,2,1,1,1,0,0.602059991,0,1.770852012,0,0.602059991
hartwork/jawanndenn,django/django,1,1,9,0,3,0,58,0,3,3,1,1,1,0,0.602059991,0,1.770852012,0,0.602059991
hartwork/jawanndenn,django/django,1,1,9,0,3,0,58,0,3,5,1,1,1,0,0.602059991,0,1.770852012,0,0.602059991
hartwork/jawanndenn,django/django,1,2,11,2,3,0,1,2,3,2,1,1,1.079181246,0.477121255,0.602059991,0,0.301029996,0.477121255,0.602059991
hartwork/jawanndenn,django/django,1,2,8,0,5,1,1,3,3,1,1,1,0.954242509,0,0.77815125,0.301029996,0.301029996,0.602059991,0.602059991
hartwork/jawanndenn,django/django,1,2,8,0,5,1,1,3,3,2,1,1,0.954242509,0,0.77815125,0.301029996,0.301029996,0.602059991,0.602059991
hartwork/jawanndenn,django/django,1,3,11,2,3,0,1,2,3,1,1,1,1.079181246,0.477121255,0.602059991,0,0.301029996,0.477121255,0.602059991
hartwork/jawanndenn,django/django,1,3,14,3,4,2,43,1,4,2,1,1,1.176091259,0.602059991,0.698970004,0.477121255,1.643452676,0.301029996,0.698970004
hartwork/jawanndenn,django/django,1,3,8,0,5,1,1,3,3,1,1,1,0.954242509,0,0.77815125,0.301029996,0.301029996,0.602059991,0.602059991
hartwork/jawanndenn,django/django,1,5,11,2,3,0,1,2,3,0,1,0,1.079181246,0.477121255,0.602059991,0,0.301029996,0.477121255,0.602059991
hdmf-dev/hdmf,aaa_numpy/numpy,0,13,2,0,7,15,17,2,4,0,0,0,0.477121255,0,0.903089987,1.204119983,1.255272505,0.477121255,0.698970004
hdmf-dev/hdmf,aaa_numpy/numpy,0,81,2,0,7,15,17,2,4,0,0,0,0.477121255,0,0.903089987,1.204119983,1.255272505,0.477121255,0.698970004
hdmf-dev/hdmf,aaa_numpy/numpy,1,100,1,0,9,16,19,3,2,0,0,0,0.301029996,0,1,1.230448921,1.301029996,0.602059991,0.477121255
hdmf-dev/hdmf,aaa_numpy/numpy,1,12,1,0,9,16,19,3,2,0,0,0,0.301029996,0,1,1.230448921,1.301029996,0.602059991,0.477121255
hdmf-dev/hdmf,aaa_numpy/numpy,1,122,3,1,15,30,66,7,3,0,0,0,0.602059991,0.301029996,1.204119983,1.491361694,1.826074803,0.903089987,0.602059991
hdmf-dev/hdmf,aaa_numpy/numpy,1,141,1,1,8,12,21,4,2,2,0,1,0.301029996,0.301029996,0.954242509,1.113943352,1.342422681,0.698970004,0.477121255
hdmf-dev/hdmf,aaa_numpy/numpy,1,158,4,0,14,19,28,1,4,0,0,0,0.698970004,0,1.176091259,1.301029996,1.462397998,0.301029996,0.698970004
hdmf-dev/hdmf,aaa_numpy/numpy,1,212,5,3,11,8,21,2,3,0,0,0,0.77815125,0.602059991,1.079181246,0.954242509,1.342422681,0.477121255,0.602059991
hdmf-dev/hdmf,aaa_numpy/numpy,1,247,2,4,12,29,44,1,2,0,0,0,0.477121255,0.698970004,1.113943352,1.477121255,1.653212514,0.301029996,0.477121255
hdmf-dev/hdmf,aaa_numpy/numpy,1,315,1,0,9,4,8,0,4,0,0,0,0.301029996,0,1,0.698970004,0.954242509,0,0.698970004
hdmf-dev/hdmf,aaa_numpy/numpy,1,66,1,0,9,4,8,0,4,0,0,0,0.301029996,0,1,0.698970004,0.954242509,0,0.698970004
hdmf-dev/hdmf,pandas-dev/pandas,0,74,2,0,7,15,17,2,2,0,0,0,0.477121255,0,0.903089987,1.204119983,1.255272505,0.477121255,0.477121255
hdmf-dev/hdmf,pandas-dev/pandas,1,100,1,0,9,16,19,3,4,0,0,0,0.301029996,0,1,1.230448921,1.301029996,0.602059991,0.698970004
hdmf-dev/hdmf,pandas-dev/pandas,1,137,2,4,12,29,44,1,4,0,0,0,0.477121255,0.698970004,1.113943352,1.477121255,1.653212514,0.301029996,0.698970004
